Environment,Algorithm,run_idx,start_x,start_y,goal_x,goal_y,success_rate,avg_path_length,path_time_s,avg_curvature_1_m,planning_time_s,tracking_time_s,num_corners,inference_time_s,max_corner_deg,planning_cost,composite_score
Env. (forest_a)/short,CNN-PDDQN,0,66,16,155,92,1.0,10.7812,6.35,0.002026,0.03067,0.0,0,0.03067,0,10.797,0.054
Env. (forest_a)/short,CNN-PDDQN,1,176,58,235,33,1.0,5.7187,3.65,0.076404,0.01794,0.0,0,0.01794,0,5.728,0.347
Env. (forest_a)/short,CNN-PDDQN,2,168,197,121,138,1.0,6.705,4.3,0.056588,0.0211,0.0,0,0.0211,0,6.716,0.212
Env. (forest_a)/short,CNN-PDDQN,3,274,190,186,268,1.0,11.4746,6.95,0.138002,0.03501,0.0,0,0.03501,1,11.492,0.673
Env. (forest_a)/short,CNN-PDDQN,4,13,219,29,293,1.0,6.7275,4.45,0.04663,0.02225,0.0,0,0.02225,0,6.739,0.207
Env. (forest_a)/short,CNN-PDDQN,5,211,243,279,340,1.0,11.8911,7.2,0.109638,0.03541,0.0,0,0.03541,0,11.909,0.501
Env. (forest_a)/short,CNN-PDDQN,6,313,249,307,118,1.0,12.8324,7.6,0.062322,0.04045,0.0,0,0.04045,1,12.853,0.312
Env. (forest_a)/short,CNN-PDDQN,7,90,279,20,335,0.0,0.2587,3.6,2.945066,0.1478,0.0,0,0.1478,1,inf,inf
Env. (forest_a)/short,CNN-PDDQN,8,187,58,219,147,1.0,10.6645,6.3,0.195116,0.03254,0.0,0,0.03254,1,10.681,0.35
Env. (forest_a)/short,CNN-PDDQN,9,151,212,167,136,1.0,8.3923,4.95,0.14904,0.02497,0.0,0,0.02497,1,8.405,0.28
Env. (forest_a)/short,Hybrid A*,0,66,16,155,92,1.0,10.9669,6.2,0.130228,0.55288,0.16399,0,0.71687,0,11.325,0.598
Env. (forest_a)/short,Hybrid A*,1,176,58,235,33,1.0,5.5561,3.5,0.075479,0.17485,0.08891,0,0.26375,0,5.688,0.333
Env. (forest_a)/short,Hybrid A*,2,168,197,121,138,1.0,6.6481,4.1,0.147281,0.55341,0.10628,0,0.65969,1,6.978,0.535
Env. (forest_a)/short,Hybrid A*,3,274,190,186,268,1.0,10.9198,6.2,0.099873,0.72031,0.16479,0,0.8851,0,11.362,0.495
Env. (forest_a)/short,Hybrid A*,4,13,219,29,293,1.0,7.0236,4.2,0.210305,0.52695,0.10977,0,0.63672,1,7.342,0.718
Env. (forest_a)/short,Hybrid A*,5,211,243,279,340,1.0,11.1551,6.35,0.139312,2.17364,0.16854,0,2.34218,0,12.326,0.63
Env. (forest_a)/short,Hybrid A*,6,313,249,307,118,1.0,12.771,7.1,0.225986,1.2435,0.18898,0,1.43248,1,13.487,0.718
Env. (forest_a)/short,Hybrid A*,7,90,279,20,335,1.0,8.2556,5.0,0.164919,0.51685,0.13109,0,0.64794,1,8.58,0.475
Env. (forest_a)/short,Hybrid A*,8,187,58,219,147,1.0,8.7499,5.1,0.157261,0.8728,0.13493,0,1.00773,0,9.254,0.333
Env. (forest_a)/short,Hybrid A*,9,151,212,167,136,1.0,7.1844,4.35,0.119429,0.64487,0.11282,0,0.75769,0,7.563,0.36
Env. (forest_a)/short,RRT*,0,66,16,155,92,1.0,10.9706,6.2,0.136557,0.04149,0.16611,0,0.2076,1,11.074,0.288
Env. (forest_a)/short,RRT*,1,176,58,235,33,1.0,5.7532,3.6,0.21975,0.07532,0.09309,0,0.16841,1,5.837,0.685
Env. (forest_a)/short,RRT*,2,168,197,121,138,1.0,7.0828,4.55,0.264591,0.03122,0.11987,0,0.15109,1,7.158,0.677
Env. (forest_a)/short,RRT*,3,274,190,186,268,1.0,11.3116,6.55,0.123424,0.04604,0.1763,0,0.22234,1,11.423,0.438
Env. (forest_a)/short,RRT*,4,13,219,29,293,1.0,6.836,4.25,0.167444,0.01504,0.11125,0,0.12629,1,6.899,0.329
Env. (forest_a)/short,RRT*,5,211,243,279,340,1.0,11.0994,6.4,0.147407,0.00044,0.17321,0,0.17365,1,11.186,0.353
Env. (forest_a)/short,RRT*,6,313,249,307,118,1.0,12.7485,7.2,0.193196,0.04531,0.19557,0,0.24089,1,12.869,0.374
Env. (forest_a)/short,RRT*,7,90,279,20,335,1.0,8.3424,5.0,0.217678,0.02666,0.13365,0,0.16031,1,8.423,0.144
Env. (forest_a)/short,RRT*,8,187,58,219,147,1.0,8.7791,5.95,0.280264,0.02405,0.1584,0,0.18245,1,8.87,0.507
Env. (forest_a)/short,RRT*,9,151,212,167,136,1.0,7.3699,4.35,0.280683,0.00065,0.11625,0,0.1169,1,7.428,0.25
Env. (forest_a)/long,MLP-DQN,0,15,21,296,333,1.0,43.2154,22.25,0.104302,0.08101,0.0,0,0.08101,1,43.256,0.135
Env. (forest_a)/long,MLP-DQN,1,17,10,334,259,1.0,41.6155,21.45,0.112066,0.086,0.0,0,0.086,1,41.659,0.127
Env. (forest_a)/long,MLP-DQN,2,75,20,320,353,1.0,44.2158,22.75,0.070807,0.08162,0.0,0,0.08162,1,44.257,0.063
Env. (forest_a)/long,MLP-DQN,3,6,10,328,248,1.0,41.6154,21.45,0.088189,0.07639,0.0,0,0.07639,1,41.654,0.073
Env. (forest_a)/long,MLP-DQN,4,54,17,306,335,1.0,42.5153,21.9,0.079211,0.0803,0.0,0,0.0803,1,42.555,0.078
