Environment,Algorithm,run_idx,start_x,start_y,goal_x,goal_y,success_rate,avg_path_length,path_time_s,avg_curvature_1_m,planning_time_s,tracking_time_s,num_corners,inference_time_s,max_corner_deg,planning_cost,composite_score
Env. (realmap_a),LO-HA*,5,306,37,353,69,1.0,7.4522,5.05,0.417561,2.49799,0.27948,0,2.77747,1,8.841,0.459
Env. (realmap_a),LO-HA*,6,132,14,14,9,1.0,11.1546,6.7,0.150835,0.39249,0.37657,0,0.76906,0,11.539,0.722
Env. (realmap_a),LO-HA*,7,127,45,23,14,1.0,10.2699,6.3,0.155439,1.87844,0.36081,0,2.23925,0,11.39,0.296
Env. (realmap_a),LO-HA*,8,275,44,385,68,0.0,0.0,0.0,0.0,0.0001,0.0,0,0.0001,0,inf,inf
Env. (realmap_a),LO-HA*,9,256,43,142,14,1.0,10.7817,6.85,0.049566,0.74567,0.41782,0,1.16349,0,11.363,0.481
Env. (realmap_a),LO-HA*,10,353,21,226,23,1.0,11.7545,7.2,0.079761,0.28282,0.41841,0,0.70123,0,12.105,0.041
Env. (realmap_a),LO-HA*,11,106,19,158,41,1.0,4.695,3.8,0.12224,0.07366,0.22527,0,0.29893,0,4.845,0.548
Env. (realmap_a),LO-HA*,12,278,26,374,65,1.0,10.1993,6.6,0.216262,3.5547,0.39836,0,3.95306,1,12.176,0.68
Env. (realmap_a),LO-HA*,13,209,40,315,33,1.0,9.83,6.35,0.183709,0.28508,0.40153,0,0.68661,1,10.173,0.913
Env. (realmap_a),LO-HA*,14,172,45,52,58,1.0,11.8506,7.1,0.212719,4.28486,0.4076,0,4.69246,1,14.197,0.405
Env. (realmap_a),LO-HA*,15,214,35,105,14,0.0,0.0,0.0,0.0,0.00014,0.0,0,0.00014,0,inf,inf
Env. (realmap_a),LO-HA*,16,93,19,17,33,1.0,6.7951,4.45,0.087919,0.21204,0.24638,0,0.45841,0,7.024,0.316
Env. (realmap_a),LO-HA*,17,99,35,222,41,1.0,11.4283,7.05,0.135484,1.62622,0.42319,0,2.04941,0,12.453,0.451
Env. (realmap_a),LO-HA*,18,114,37,30,20,1.0,7.9361,5.05,0.179215,0.36693,0.291,0,0.65793,1,8.265,0.293
Env. (realmap_a),LO-HA*,19,133,28,59,58,0.0,0.0,0.0,0.0,0.0001,0.0,0,0.0001,0,inf,inf
Env. (realmap_a),LO-HA*,20,280,42,379,52,1.0,9.1143,5.6,0.117494,0.12763,0.31374,0,0.44137,0,9.335,0.576
Env. (realmap_a),LO-HA*,21,249,20,358,39,1.0,10.3399,6.65,0.135062,0.08527,0.39216,0,0.47743,1,10.579,0.49
Env. (realmap_a),LO-HA*,22,256,36,150,13,1.0,10.0557,6.25,0.128498,0.64393,0.35057,0,0.9945,0,10.553,0.389
Env. (realmap_a),LO-HA*,23,384,105,379,39,1.0,5.7694,4.05,0.193464,0.06888,0.2181,0,0.28697,1,5.913,0.734
Env. (realmap_a),LO-HA*,24,53,14,134,39,0.0,0.0,0.0,0.0,9e-05,0.0,0,9e-05,0,inf,inf
Env. (realmap_a),LO-HA*,25,220,32,130,17,1.0,8.1741,5.55,0.073938,0.35852,0.35622,0,0.71474,0,8.531,0.537
Env. (realmap_a),LO-HA*,26,179,11,236,21,1.0,5.1029,3.95,0.274221,0.11939,0.23576,0,0.35516,1,5.28,0.542
Env. (realmap_a),LO-HA*,27,142,32,37,25,1.0,9.8423,6.4,0.17974,1.31572,0.37445,0,1.69017,1,10.687,0.543
Env. (realmap_a),LO-HA*,28,20,34,100,35,1.0,7.1297,5.05,0.092311,1.3004,0.30083,0,1.60123,0,7.93,0.556
Env. (realmap_a),LO-HA*,29,254,40,199,27,1.0,4.8399,3.5,0.172437,0.31447,0.18994,0,0.50441,0,5.092,0.31
Env. (realmap_a),LO-HA*,30,288,43,183,27,1.0,10.4354,6.25,0.218864,0.39545,0.35117,0,0.74662,1,10.809,0.363
Env. (realmap_a),LO-HA*,31,283,21,373,38,1.0,8.714,5.7,0.247462,0.14361,0.31788,0,0.4615,1,8.945,0.758
Env. (realmap_a),LO-HA*,32,185,23,97,24,1.0,7.8852,5.0,0.116332,0.09174,0.29715,0,0.38889,0,8.08,0.333
Env. (realmap_a),LO-HA*,33,312,34,374,88,1.0,8.7264,5.75,0.325622,0.97905,0.32226,0,1.30131,1,9.377,0.935
Env. (realmap_a),LO-HA*,34,352,61,381,122,1.0,5.8349,4.3,0.120094,0.07478,0.24903,0,0.32381,1,5.997,0.602
Env. (realmap_a),LO-HA*,35,361,119,380,45,1.0,6.6955,4.45,0.126058,0.07317,0.26025,0,0.33342,0,6.862,0.47
Env. (realmap_a),LO-HA*,36,151,19,47,34,0.0,0.0,0.0,0.0,5.00902,0.0,0,5.00902,0,inf,inf
Env. (realmap_a),LO-HA*,37,228,38,151,34,0.0,0.0,0.0,0.0,5.00762,0.0,0,5.00762,0,inf,inf
Env. (realmap_a),LO-HA*,38,294,23,214,31,1.0,7.406,5.15,0.152414,3.83964,0.32892,0,4.16857,0,9.49,0.462
